quarter,UK real GDP,UK nominal GDP,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,Deposit volumes,"2yr fixed mortgage rate, 75% LTV",Instant access savings rate,PPP-weighted World real GDP,World trade,Volatility index,Euro area real GDP,ECB policy rate,Euro area residential property price index,US real GDP,US equity prices,US policy rate,US residential real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong residential property price index,India real GDP,period_kind,UK nominal GDP index
Q4 2016,473983.9,494885.9,231998.9,339118.6,100.0,100.0,100.0,0.3,151.3,469.4,3.1,10.6,3.2,1590313.4,1.5,0.2,100.0,100.0,14.0,100.0,-0.4,100.0,100.0,100.0,0.5,100.0,135.0,463.4,100.0,100.0,100.0,100.0,100.0,year_zero,100.0
Q1 2017,475467.7,498071.3,233059.1,342190.6,100.4,99.4,100.6,0.0,162.0,610.0,2.7,10.6,1.6,1597743.0,1.18,0.05,100.7,100.5,20.3,100.3,-0.4,100.5,100.4,100.9,0.5,100.9,163.0,615.0,101.3,101.1,100.4,100.7,101.6,projection,100.64366351920715
Q2 2017,476519.7,500070.6,232855.3,344324.7,100.7,97.8,101.0,0.0,140.0,520.0,2.9,10.6,0.2,1609981.0,1.16,0.05,101.4,100.9,18.4,100.6,-0.4,100.9,100.8,101.8,0.4,101.7,140.0,525.0,102.5,102.1,100.8,101.2,103.1,projection,101.04765563132834
Q3 2017,477459.4,501809.0,232382.1,344896.1,101.1,95.9,101.4,0.0,140.0,520.0,3.0,10.8,-0.9,1620883.0,1.13,0.05,102.1,101.2,17.4,100.9,-0.4,101.3,101.2,102.7,0.3,102.4,140.0,525.0,103.8,103.2,101.2,101.6,104.7,projection,101.39892852069536
Q4 2017,478349.3,504374.9,232950.9,345959.3,101.5,94.0,101.9,0.0,140.0,520.0,3.0,10.8,-1.4,1630053.0,1.1,0.05,102.7,101.4,16.8,101.1,-0.4,101.7,101.6,103.6,0.3,103.0,140.0,525.0,105.0,104.2,101.6,102.0,106.2,projection,101.91741167004353
Q1 2018,479086.6,508385.1,235100.3,348217.0,101.9,92.4,102.7,0.0,140.0,520.0,3.0,10.4,-2.2,1631759.0,1.07,0.06,103.4,101.6,16.3,101.4,-0.4,102.0,101.9,104.5,0.3,103.5,140.0,525.0,106.1,105.0,102.1,102.4,107.7,projection,102.72773986892736
Q2 2018,479910.9,511421.6,235656.9,350955.0,102.2,91.8,103.3,0.0,140.0,520.0,3.1,9.6,-2.2,1639388.0,1.06,0.07,103.9,101.7,16.0,101.6,-0.4,102.2,102.2,105.3,0.3,103.9,140.0,525.0,107.1,105.9,102.5,102.8,109.1,projection,103.34131564467688
Q3 2018,480754.2,514419.1,236655.7,353044.5,102.6,92.0,103.9,0.0,140.0,520.0,3.2,8.9,-2.2,1648208.0,1.04,0.08,104.5,101.8,15.9,101.8,-0.4,102.4,102.4,106.0,0.3,104.3,140.0,525.0,108.1,106.9,102.9,103.1,110.4,projection,103.94701081602848
Q4 2018,481574.3,517383.5,237570.2,354932.0,103.0,92.6,104.5,0.0,140.0,520.0,3.2,8.3,-2.2,1656941.0,1.02,0.09,105.0,101.8,15.7,102.0,-0.4,102.6,102.7,106.8,0.3,104.7,140.0,525.0,109.0,107.7,103.3,103.5,111.6,projection,104.54601757698087
Q1 2019,482350.3,521762.2,239766.3,356967.5,103.4,93.6,105.4,0.0,140.0,520.0,3.2,8.1,-2.5,1658670.0,1.01,0.11,105.5,101.9,15.7,102.2,-0.4,102.7,102.9,107.6,0.3,105.1,140.0,525.0,110.0,108.7,103.7,103.8,112.9,projection,105.4308073840859
